BioSample_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	isolate_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	source_s
SAMN03270031	P00024_hudsonmiseq	Jan 09, 2015	93	54	SRR1748545	SRS801732	P00024	25-Jun-2013	city	park	metal	P00024	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270031	P00024	Jan 27, 2015	545	210	SRR1748546	SRS801732	P00024	25-Jun-2013	city	park	metal	P00024	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270032	P00027_hudsonmiseq	Jan 09, 2015	85	51	SRR1748547	SRS801733	P00027	08-Jul-2013	city	subway	wood	P00027	40.74 N 73.93 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270032	P00027	Jan 27, 2015	598	228	SRR1748548	SRS801733	P00027	08-Jul-2013	city	subway	wood	P00027	40.74 N 73.93 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270033	P00030_hudsonmiseq	Jan 09, 2015	92	56	SRR1748549	SRS801734	P00030	08-Jul-2013	city	subway	wood	P00030	40.75 N 73.91 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270033	P00030	Jan 27, 2015	607	234	SRR1748550	SRS801734	P00030	08-Jul-2013	city	subway	wood	P00030	40.75 N 73.91 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270034	P00031_hudsonmiseq	Jan 09, 2015	86	51	SRR1748551	SRS801735	P00031	08-Jul-2013	city	subway	metal	P00031	40.69 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270034	P00031	Jan 27, 2015	510	196	SRR1748552	SRS801735	P00031	08-Jul-2013	city	subway	metal	P00031	40.69 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270035	P00032_hudsonmiseq	Jan 09, 2015	112	69	SRR1748553	SRS801736	P00032	08-Jul-2013	city	subway	metal	P00032	40.74 N 73.89 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270035	P00032	Jan 20, 2015	645	249	SRR1748554	SRS801736	P00032	08-Jul-2013	city	subway	metal	P00032	40.74 N 73.89 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270036	P00033_hudsonmiseq	Jan 09, 2015	85	52	SRR1748555	SRS801737	P00033	08-Jul-2013	city	subway	metal	P00033	40.74 N 73.88 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270036	P00033	Jan 20, 2015	576	222	SRR1748556	SRS801737	P00033	08-Jul-2013	city	subway	metal	P00033	40.74 N 73.88 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270037	P00034_hudsonmiseq	Jan 09, 2015	117	70	SRR1748557	SRS801738	P00034	08-Jul-2013	city	subway	metal/plastic	P00034	40.73 N 73.87 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270037	P00034	Jan 20, 2015	808	309	SRR1748558	SRS801738	P00034	08-Jul-2013	city	subway	metal/plastic	P00034	40.73 N 73.87 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270038	P00035_hudsonmiseq	Jan 09, 2015	109	63	SRR1748559	SRS801739	P00035	08-Jul-2013	city	subway	wood	P00035	40.72 N 73.86 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270038	P00035	Jan 20, 2015	476	157	SRR1748560	SRS801739	P00035	08-Jul-2013	city	subway	wood	P00035	40.72 N 73.86 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270040	P00041_hudsonmiseq	Jan 09, 2015	62	37	SRR1748563	SRS801740	P00041	08-Jul-2013	city	park	metal	P00041	40.69 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270040	P00041	Jan 20, 2015	448	174	SRR1748564	SRS801740	P00041	08-Jul-2013	city	park	metal	P00041	40.69 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270039	P00036_hudsonmiseq	Jan 09, 2015	78	46	SRR1748561	SRS801741	P00036	08-Jul-2013	city	subway	metal/plastic	P00036	40.72 N 73.84 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270039	P00036	Jan 20, 2015	500	194	SRR1748562	SRS801741	P00036	08-Jul-2013	city	subway	metal/plastic	P00036	40.72 N 73.84 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270041	P00042_hudsonmiseq	Jan 09, 2015	98	59	SRR1748565	SRS801743	P00042	08-Jul-2013	city	park	wood	P00042	40.69 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270041	P00042	Jan 20, 2015	737	280	SRR1748566	SRS801743	P00042	08-Jul-2013	city	park	wood	P00042	40.69 N 73.97 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270043	P00046_hiseq	Jan 09, 2015	779	294	SRR1748569	SRS801742	P00046	08-Jul-2013	city	subway	metal/plastic	P00046	40.76 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270043	P00046_hudsonmiseq	Jan 09, 2015	99	60	SRR1748570	SRS801742	P00046	08-Jul-2013	city	subway	metal/plastic	P00046	40.76 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270043	P00046_miseq	Jan 09, 2015	624	347	SRR1748571	SRS801742	P00046	08-Jul-2013	city	subway	metal/plastic	P00046	40.76 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270044	P00047_hiseq	Jan 09, 2015	675	450	SRR1748572	SRS801744	P00047	09-Jul-2013	city	subway	metal	P00047	40.75 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270044	P00047_miseq	Jan 09, 2015	610	340	SRR1748573	SRS801744	P00047	09-Jul-2013	city	subway	metal	P00047	40.75 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270045	P00049_hiseq	Jan 09, 2015	815	310	SRR1748574	SRS801747	P00049	09-Jul-2013	city	subway	metal/plastic	P00049	40.73 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270045	P00049_hudsonmiseq	Jan 09, 2015	103	62	SRR1748575	SRS801747	P00049	09-Jul-2013	city	subway	metal/plastic	P00049	40.73 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270045	P00049_miseq	Jan 09, 2015	673	380	SRR1748576	SRS801747	P00049	09-Jul-2013	city	subway	metal/plastic	P00049	40.73 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270046	P00050_hiseq	Jan 09, 2015	592	229	SRR1748577	SRS801745	P00050	09-Jul-2013	city	subway	metal	P00050	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270046	P00050_hudsonmiseq	Jan 09, 2015	82	48	SRR1748578	SRS801745	P00050	09-Jul-2013	city	subway	metal	P00050	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270046	P00050_miseq	Jan 09, 2015	554	312	SRR1748579	SRS801745	P00050	09-Jul-2013	city	subway	metal	P00050	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270047	P00051_hiseq	Jan 09, 2015	700	271	SRR1748580	SRS801746	P00051	09-Jul-2013	city	subway	metal/plastic	P00051	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270047	P00051_hudsonmiseq	Jan 09, 2015	104	63	SRR1748581	SRS801746	P00051	09-Jul-2013	city	subway	metal/plastic	P00051	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270047	P00051_miseq	Jan 09, 2015	586	328	SRR1748582	SRS801746	P00051	09-Jul-2013	city	subway	metal/plastic	P00051	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270048	P00052_hiseq	Jan 09, 2015	757	291	SRR1748583	SRS801748	P00052	09-Jul-2013	city	subway	wood	P00052	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270048	P00052_hudsonmiseq	Jan 09, 2015	100	63	SRR1748584	SRS801748	P00052	09-Jul-2013	city	subway	wood	P00052	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270048	P00052_miseq	Jan 09, 2015	591	328	SRR1748585	SRS801748	P00052	09-Jul-2013	city	subway	wood	P00052	40.71 N 73.95 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270050	P00054_hiseq	Jan 09, 2015	657	253	SRR1748588	SRS801749	P00054	09-Jul-2013	city	subway	metal/plastic	P00054	40.69 N 73.91 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270050	P00054_hudsonmiseq	Jan 09, 2015	97	58	SRR1748589	SRS801749	P00054	09-Jul-2013	city	subway	metal/plastic	P00054	40.69 N 73.91 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270050	P00054_miseq	Jan 09, 2015	517	290	SRR1748590	SRS801749	P00054	09-Jul-2013	city	subway	metal/plastic	P00054	40.69 N 73.91 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270051	P00055_hiseq	Jan 09, 2015	416	160	SRR1748591	SRS801750	P00055	09-Jul-2013	city	subway	metal	P00055	40.69 N 73.92 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270051	P00055_hudsonmiseq	Jan 09, 2015	54	32	SRR1748592	SRS801750	P00055	09-Jul-2013	city	subway	metal	P00055	40.69 N 73.92 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270051	P00055_miseq	Jan 09, 2015	501	280	SRR1748593	SRS801750	P00055	09-Jul-2013	city	subway	metal	P00055	40.69 N 73.92 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270052	P00056_hiseq	Jan 09, 2015	536	204	SRR1748594	SRS801752	P00056	09-Jul-2013	city	subway	wood	P00056	40.73 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270052	P00056_hudsonmiseq	Jan 09, 2015	76	43	SRR1748595	SRS801752	P00056	09-Jul-2013	city	subway	wood	P00056	40.73 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270052	P00056_miseq	Jan 09, 2015	589	333	SRR1748596	SRS801752	P00056	09-Jul-2013	city	subway	wood	P00056	40.73 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270053	P00058_hiseq	Jan 09, 2015	572	220	SRR1748597	SRS801751	P00058	09-Jul-2013	city	subway	metal	P00058	40.73 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270053	P00058_hudsonmiseq	Jan 09, 2015	67	40	SRR1748598	SRS801751	P00058	09-Jul-2013	city	subway	metal	P00058	40.73 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270053	P00058_miseq	Jan 09, 2015	521	297	SRR1748599	SRS801751	P00058	09-Jul-2013	city	subway	metal	P00058	40.73 N 74.00 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270055	P00060_hudsonmiseq	Jan 09, 2015	82	49	SRR1748602	SRS801754	P00060	09-Jul-2013	city	subway	metal/plastic	P00060	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270055	P00060	Jan 20, 2015	620	236	SRR1748603	SRS801754	P00060	09-Jul-2013	city	subway	metal/plastic	P00060	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270056	P00061_hiseq	Jan 09, 2015	577	223	SRR1748604	SRS801753	P00061	09-Jul-2013	city	subway	metal	P00061	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270056	P00061_hudsonmiseq	Jan 09, 2015	71	43	SRR1748605	SRS801753	P00061	09-Jul-2013	city	subway	metal	P00061	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270056	P00061_miseq	Jan 09, 2015	587	334	SRR1748606	SRS801753	P00061	09-Jul-2013	city	subway	metal	P00061	40.73 N 73.99 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270057	P00062_hudsonmiseq	Jan 09, 2015	83	50	SRR1748607	SRS801755	P00062	10-Jul-2013	city	subway	metal	P00062	40.74 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270057	P00062	Jan 09, 2015	710	272	SRR1748608	SRS801755	P00062	10-Jul-2013	city	subway	metal	P00062	40.74 N 73.98 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270058	P00063_hudsonmiseq	Jan 09, 2015	73	45	SRR1748609	SRS801757	P00063	10-Jul-2013	city	subway	metal	P00063	40.65 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
SAMN03270058	P00063	Jan 09, 2015	543	211	SRR1748610	SRS801757	P00063	10-Jul-2013	city	subway	metal	P00063	40.65 N 73.96 W	OTHER	<not provided>	PRJNA271013	Metagenome or environmental	WEILL CORNELL MEDICAL COLLEGE	public	0	ILLUMINA	Feb 06, 2015	SRP051511	<not provided>	<not provided>	USA:New York City	not applicable	<not provided>
